pre_root_id,post_root_id,activity
720575940637562469,720575940620553094,0.80825734
720575940637562469,720575940630808827,0.2580787
720575940637562469,720575940642335373,0.44742668
720575940637562469,720575940618586862,0.19415915
720575940637562469,720575940633299903,0.13795471
720575940637562469,720575940631412778,0.9923178
720575940637562469,720575940624404872,0.3039546
720575940637562469,720575940635196779,0.7956972
720575940637562469,720575940626022218,0.99758434
720575940637562469,720575940617242141,0.54622114
720575940637562469,720575940619625792,0.6215975
720575940637562469,720575940628659305,0.9274001
720575940637562469,720575940627020487,0.51485956
720575940637562469,720575940647033396,0.57304466
720575940637562469,720575940618586862,0.9570472
720575940637562469,720575940619034782,0.123508096
720575940637562469,720575940631412778,0.9227574
720575940637562469,720575940624377323,0.88866615
720575940637562469,720575940619034782,0.7148739
720575940637562469,720575940618846228,0.78772986
720575940637562469,720575940633320628,0.6810318
720575940637562469,720575940643793431,0.6404841
720575940637562469,720575940632706970,0.8868245
720575940637562469,720575940623626288,0.7490456
720575940637562469,720575940610956334,0.122881055
720575940637562469,720575940621082623,0.3156854
720575940637562469,720575940623626288,0.0805037
720575940637562469,720575940609617614,0.6505947
720575940637562469,720575940611405425,0.51224697
720575940637562469,720575940645126020,0.49764216
720575940637562469,720575940628478449,0.5869291
720575940615853851,720575940624404872,0.92622364
720575940615853851,720575940621082623,0.46127808
720575940615853851,720575940610956334,0.6461729
720575940615853851,720575940630918930,0.67659605
720575940615853851,720575940645126020,0.98868585
720575940615853851,720575940638642547,0.5191424
720575940615853851,720575940643793431,0.18503141
720575940615853851,720575940632000104,0.92571115
720575940615853851,720575940643793431,0.39956355
720575940615853851,720575940628478449,0.058708668
720575940615853851,720575940631412778,0.6315018
720575940615853851,720575940641590491,0.00020456314
720575940615853851,720575940619034782,0.8034487
720575940615853851,720575940604211628,0.59527194
720575940615853851,720575940621082623,0.1292392
720575940615853851,720575940640177280,0.2145369
720575940615853851,720575940633366242,0.3701563
720575940615853851,720575940635196779,0.6257988
720575940615853851,720575940608501316,0.061185002
720575940615853851,720575940629593401,0.42459178
720575940615853851,720575940633320628,0.058701396
720575940615853851,720575940632852124,0.85599446
720575940615853851,720575940637562469,1.5591718
720575940615853851,720575940640177280,0.53755236
720575940615853851,720575940630456028,0.60637665
